id,name,age,branche,staff,awards
vq,VirtualQ,4,tech,5,2
vi,V-Industry,1,tech,3,1
use,useing,2,tech,2,1
tpl,tplusengineering,4,tech,2,1
to,ThingOSehemalsMeschup,1,tech,3,1
tp,TeleportrGmbH,1,tech,2,1
sys,systemwissenschaften,2,service,2,1
str,Strive,4,tech,3,1
tru,Truphysics,4,tech,4,1
sm,smoope,4,fin,3,3
sow,sowento,2,tech,3,1
sca,Scatterblogs,2,tech,2,1
sg,Spotgun,4,tech,1,1
rel,Relumity,4,tech,4,2
rt,Roomtailors,3,tech,2,1
pag,Pages,4,service,3,1
pro,Prospeum,1,tech,2,1
nfr,nFramesGmbH,4,tech,4,1
msq,msquare,1,tech,3,1
mo,mokuskaKaffeeroesterei,4,service,3,1
lh,Laserhub,2,ind,2,1
lid,Lidela,3,tech,2,1
gg,GlarifyGmbH,4,tech,2,1
fl,FindLocalGmbH,3,tech,4,1
emo,eMovements,3,health,4,2
co,ConversionalGmbH,1,tech,2,1
cyb,cybertronicaug,4,tech,3,1
ce,coreelements,3,commerce,2,1
ci,CIKONI,4,tech,5,2
bs,Blickshift,2,tech,2,1
can,Candidum,3,tech,2,1
bb,BateauBlanc,4,service,1,1
bk,Bildkonserve,4,service,2,1
ghs,GeneratorStartup,0,gs,0,0
tti,TTI,0,tti,0,0
sua,StartupAutobahn,0,sa,0,0
mta,MtechAcc,0,m,0,0
